rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_svr__C,param_svr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
60,0.3523909568786621,0.010356959546095047,0.08962821960449219,0.013460145963554373,414,0.011639557366631262,0.12047152123959853,"{'columntransformer__countvectorizer__max_features': 414, 'svr__C': 0.011639557366631262, 'svr__gamma': 0.12047152123959853}",-0.12322174905402926,-0.1228003137570085,-0.10828429756038095,-0.1285648950197709,-0.10622082092282556,-0.11781841526280304,0.008887133966259422,-0.11354673533600283,-0.11366303306263284,-0.11702843355898125,-0.11149129818688792,-0.1174751082404861,-0.11464092167699817,0.0022718479035202274
61,0.35796847343444826,0.028157529434752526,0.09579534530639648,0.018346210695982596,138,2424.386262762978,0.6348911201435986,"{'columntransformer__countvectorizer__max_features': 138, 'svr__C': 2424.386262762978, 'svr__gamma': 0.6348911201435986}",-0.124115272615905,-0.12297201069548169,-0.10959206435175214,-0.12883528971269148,-0.10766732016942554,-0.11863639150905117,0.008425599518883567,-0.029903593854915412,-0.029733631830090885,-0.029208066793048926,-0.02886205523052298,-0.030092809838773202,-0.029560031509470286,0.00045674390029442805
62,0.33794002532958983,0.014059723112879424,0.08341283798217773,0.008407097190291663,194,0.39233560570801745,0.5768503608687604,"{'columntransformer__countvectorizer__max_features': 194, 'svr__C': 0.39233560570801745, 'svr__gamma': 0.5768503608687604}",-0.12390886751867973,-0.12307391008627569,-0.11033718030004999,-0.13019437908751572,-0.10724395413901196,-0.11895165822630663,0.008709135682329146,-0.05026983778059094,-0.04986777267903804,-0.05158686463691182,-0.04815313052311649,-0.0522128037336834,-0.05041808187066814,0.0014171733022933096
63,0.3610126495361328,0.020910576922449842,0.09176421165466309,0.012823495784614017,303,0.3891419638083325,0.5866993421822259,"{'columntransformer__countvectorizer__max_features': 303, 'svr__C': 0.3891419638083325, 'svr__gamma': 0.5866993421822259}",-0.12432978635873196,-0.12346187024253723,-0.11068808939116816,-0.13049671549527714,-0.10750652001383812,-0.1192965963003105,0.00873198109486084,-0.05071813493501132,-0.05040908361091117,-0.051882312442717286,-0.048490123528528245,-0.05276803334018763,-0.05085353757147113,0.001450880485742244
64,0.37207961082458496,0.021790876830505127,0.08086342811584472,0.011338080740772786,401,65.22173203909375,0.6318230081061723,"{'columntransformer__countvectorizer__max_features': 401, 'svr__C': 65.22173203909375, 'svr__gamma': 0.6318230081061723}",-0.1247083322020882,-0.12392802826065263,-0.11047859985887418,-0.12989031284432112,-0.1081847326049813,-0.1194380011541835,0.00853339881934481,-0.029972217832115185,-0.02983054145045291,-0.029210628377204492,-0.028823879822443447,-0.030294737196130742,-0.029626400935669355,0.00053382450116809
65,0.3491396427154541,0.004720890460820729,0.09426407814025879,0.012994243027092447,169,0.004655047452689914,0.019233186414077376,"{'columntransformer__countvectorizer__max_features': 169, 'svr__C': 0.004655047452689914, 'svr__gamma': 0.019233186414077376}",-0.12568067718593925,-0.12535709877155043,-0.11038002825343612,-0.12825916502375564,-0.1087093202769358,-0.11967725790232345,0.008350867022460164,-0.11792380760107515,-0.11805276110943658,-0.12152928584133778,-0.11615461527433942,-0.12186945667841523,-0.11910598530092083,0.002223806192488865
66,0.3625624656677246,0.015141812023589258,0.08006410598754883,0.005318771028646846,232,0.005655604365274428,0.009622141327911757,"{'columntransformer__countvectorizer__max_features': 232, 'svr__C': 0.005655604365274428, 'svr__gamma': 0.009622141327911757}",-0.12599671889411823,-0.12572595037422035,-0.11055351267112368,-0.12807541153297636,-0.10898408068794022,-0.11986713483207576,0.008300093396947185,-0.11828480878567453,-0.11845576470877503,-0.12177448693156549,-0.11644749616299736,-0.12229916187975476,-0.11945234369375343,0.002230790851650526
67,0.35918459892272947,0.01715037527513661,0.08374009132385254,0.008686618846738613,144,0.019801976431913285,0.001231596185885315,"{'columntransformer__countvectorizer__max_features': 144, 'svr__C': 0.019801976431913285, 'svr__gamma': 0.001231596185885315}",-0.12615708514278332,-0.1257801171383471,-0.11076335185396834,-0.1281789711825864,-0.10888743751931423,-0.1199533925673999,0.008330772758765455,-0.11844148398303024,-0.11868938108286978,-0.12199812894678382,-0.11686510786135927,-0.12253657210455683,-0.11970613479571998,0.002189482878679846
68,0.3552314281463623,0.00878606365176084,0.08461861610412598,0.009330862413101128,344,1026.7699692325336,0.7372519365575712,"{'columntransformer__countvectorizer__max_features': 344, 'svr__C': 1026.7699692325336, 'svr__gamma': 0.7372519365575712}",-0.12576299898406987,-0.1251447131107388,-0.11156448810505411,-0.13067585857001254,-0.10901008048135066,-0.1204316278502452,0.008540010133948731,-0.030024361918049636,-0.029874962331621645,-0.029268214745924125,-0.028851521632696553,-0.030347405338351667,-0.029673293193328724,0.0005399525759360658
69,0.3538061618804932,0.014846502801672753,0.09644207954406739,0.015328496865703976,410,0.18550928203141753,0.6851363161715731,"{'columntransformer__countvectorizer__max_features': 410, 'svr__C': 0.18550928203141753, 'svr__gamma': 0.6851363161715731}",-0.12569789197810508,-0.1251203261331502,-0.11259650905806926,-0.13208116061826597,-0.1084000586915774,-0.12077918929583357,0.008842768698554847,-0.07582835433483509,-0.0757393335212731,-0.07865196202939692,-0.07420324761263046,-0.07913962161523999,-0.07671250382267511,0.0018802949978464492
